name,team,position,old_nil,new_nil,change,direction
Vincent Iwuchukwu,Georgetown,Big,1163147,1151672,-11475,down
Luke Davis,East Carolina,Big,36254,47721,11467,up
Tobe Awaka,Arizona,Big,1537826,1526360,-11466,down
Malik Dia,Mississippi,Big,1146557,1135191,-11366,down
Arnas Sakenis,SIU Edwardsville,Big,643245,654574,11329,up
Churchill Abass,New Orleans,Big,641332,652639,11308,up
Jacob Hogarth,Gardner Webb,Big,471948,460649,-11299,down
Andrew Holifield,Lamar,Big,335177,323935,-11242,down
Miles Rubin,Loyola Chicago,Big,1486660,1475479,-11180,down
Brady Koehler,Notre Dame,Big,433307,422134,-11173,down
Andrew McKeever,Saint Mary's,Big,975015,963851,-11164,down
Michael Belle,VCU,Big,387078,375979,-11100,down
Toyaz Solomon,UNC Asheville,Big,767305,756209,-11096,down
Julius Mims,New Mexico St.,Big,583021,571930,-11091,down
Garry Clark,Utah St.,Big,427187,438250,11063,up
Brian Sumpter,Wofford,Big,297956,286894,-11062,down
Ben Gold,Marquette,Big,362361,351491,-10870,down
N'famara Dabo,Brown,Big,568872,558004,-10868,down
Mike Jones,Alcorn St.,Big,16031,26822,10792,up
Emmanuel Kanga,George Mason,Big,699087,688326,-10762,down
Harry Wessels,Saint Mary's,Big,283391,272645,-10745,down
Makai Willis,Texas St.,Big,150893,161601,10708,up
Zuby Ejiofor,St. John's,Big,2301097,2290550,-10547,down
Giovanni Emejuru,East Carolina,Big,1131470,1121072,-10398,down
Jamie Vinson,Texas A&M,Big,771113,760791,-10322,down
Isaiah Cottrell,Southern Utah,Big,266805,256561,-10243,down
AJ Rohosy,Stanford,Big,578570,568382,-10187,down
Zyier Beverly,Binghamton,Big,423660,433728,10068,up
Dylan Arnett,North Texas,Big,379854,369793,-10060,down
Mekhi Lowery,Illinois Chicago,Big,299417,289408,-10009,down
Sadiq White Jr.,Syracuse,Big,495830,485830,-10000,down
Kelechi Okworogwo,North Carolina Central,Big,257120,247137,-9983,down
Chol Machot,Charleston,Big,877625,867670,-9956,down
David Fuchs,San Francisco,Big,1053035,1043097,-9938,down
Corneilous Williams,North Alabama,Big,538035,528098,-9937,down
Cameron Fens,South Dakota,Big,1183975,1174069,-9906,down
Zvonimir Ivisic,Illinois,Big,1065548,1055686,-9862,down
Julius Halaifonua,Georgetown,Big,1032819,1022994,-9825,down
Austin Parks,Toledo,Big,697042,687236,-9806,down
Daimion Collins,South Florida,Big,246680,236937,-9744,down
Andrew Osasuyi,St. Bonaventure,Big,451974,442361,-9613,down
Amael L'Etang,Dayton,Big,1304249,1294666,-9582,down
